trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.5799999999999996}",25,18,-5.102728343906122,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.5699999999999996}",25,11,-47.05673675107159,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
44,False,"{'a': 0.5, 'e': 0.5599999999999996}",20,13,13.334998897428592,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,14,0.46111115353699983,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.5399999999999996}",25,-13,-12.219878732254122,"{0: 32, 1: 1, 2: 4, 3: 1, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.5299999999999996}",20,5,7.206203632325826,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,-6,-43.41767524584044,"{0: 24, 1: 4, 2: 2, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.5099999999999996}",20,10,6.666990317841471,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.49999999999999956}",25,15,-22.236287746364994,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.48999999999999955}",20,3,-37.79451937553258,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.47999999999999954}",25,18,-6.57312214661249,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.46999999999999953}",30,-8,-119.30698635353366,"{0: 27, 1: 2, 2: 7, 3: 0, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.4599999999999995}",25,17,-37.28372229227438,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
55,False,"{'a': 0.5, 'e': 0.4499999999999995}",30,12,-76.87501913746868,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 2}",1
56,False,"{'a': 0.5, 'e': 0.4399999999999995}",20,-6,-123.68717452399065,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.4299999999999995}",25,13,24.715839802917966,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.4199999999999995}",30,9,-17.808367649823637,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
59,False,"{'a': 0.5, 'e': 0.4099999999999995}",20,13,15.233259038069448,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.39999999999999947}",20,13,12.43972431224703,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.38999999999999946}",20,-2,9.14156567100041,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.37999999999999945}",20,12,5.341221821570371,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.36999999999999944}",25,8,-1.4695850447057413,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.35999999999999943}",20,9,-0.9474444858913431,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.3499999999999994}",20,-10,-38.85791433361172,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.3399999999999994}",30,17,22.206454433283735,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
